Id,SalePrice
1461,150746.04169522016
1462,166658.71706634085
1463,168394.6929782458
1464,176480.86730800336
1465,172109.9691159253
1466,168238.97357963145
1467,170780.58546041872
1468,166982.52467521516
1469,171112.45786186765
1470,151734.1352362666
1471,176697.94298195693
1472,138283.39789055532
1473,137271.6937336396
1474,163221.43261394836
1475,147255.64082862958
1476,219081.24600311258
1477,192876.89779759632
1478,203596.40197483537
1479,198130.14236011653
1480,239934.99661472885
1481,210003.6941581791
1482,182224.03468955265
1483,169844.2090554321
1484,168089.80853588038
1485,169275.9335756938
1486,175677.13297886134
1487,210161.99976283012
1488,187892.24686842796
1489,175818.34836985613
1490,183959.32031861157
1491,176461.48920073046
1492,139743.92833004709
1493,171493.23111605208
1494,200498.1122385641
1495,201979.51921501828
1496,185486.3972327959
1497,172522.5674663657
1498,163350.27266300734
1499,163836.75315926183
1500,162818.01676736292
1501,167489.34857023726
1502,159458.89706291986
1503,205182.780768279
1504,192167.29462819733
1505,184033.72595336506
1506,177098.94744330342
1507,188466.5632557956
1508,175538.22403606932
1509,166525.02283669673
1510,157916.5591616832
1511,159190.23493868404
1512,168175.26646249217
1513,160329.53093561914
1514,166033.1256100924
1515,175258.14267636518
1516,166182.2138568489
1517,167405.72520662044
1518,158050.20094603804
1519,181561.92089755484
1520,154043.21911293114
1521,155953.53429648903
1522,165233.12776230276
1523,147173.11959517325
1524,150731.62023502952
1525,151075.33488512953
1526,147853.15417321274
1527,139463.63287381508
1528,158916.17372342027
1529,157898.59652134488
1530,172071.77884711762
1531,142720.5793350175
1532,142914.92222314986
1533,159342.8175791011
1534,150399.36768040695
1535,166262.6569101832
1536,146114.63001446225
1537,119580.90283107378
1538,160707.12500899084
1539,170656.82532170156
1540,136080.34325159687
1541,161425.43981299028
1542,154797.1312513822
1543,182970.776673644
1544,127149.99543616542
1545,145781.3867820878
1546,153087.19076540542
1547,153661.2250304435
1548,160450.07450936138
1549,145536.3431957205
1550,155865.78010495042
1551,154690.0904014823
1552,153329.47127108625
1553,158609.57251594335
1554,146328.50740223244
1555,166338.81856797152
1556,132746.83005697085
1557,147278.59043418837
1558,135634.35653686972
1559,120526.47963367503
1560,157121.62390245806
1561,144982.22199768713
1562,151902.09285952046
1563,148621.96191957264
1564,167455.48681171876
1565,157859.25198190365
1566,186916.6103664441
1567,126331.04798585622
1568,181400.64518771067
1569,152659.22714327907
1570,156409.24417098323
1571,147075.36399661773
1572,162891.79719412373
1573,192243.50322911268
1574,143643.64758878018
1575,181743.0569217338
1576,184205.15482550635
1577,173134.98113991975
1578,156709.47963485465
1579,160093.13657637397
1580,177584.85728034668
1581,161474.91022565187
1582,153323.01892618928
1583,213622.53420917096
1584,187717.94207925795
1585,157037.99656353684
1586,129699.53575371529
1587,139894.52031006396
1588,159295.99047586383
1589,139801.13969221018
1590,154186.15398138523
1591,138968.1742396943
1592,150177.8121277222
1593,149037.08853496448
1594,153413.52778154874
1595,144599.73362849202
1596,188151.87343633565
1597,172511.33725134828
1598,175659.28690200966
1599,169540.32325132866
1600,167575.38271481896
1601,123988.97039664422
1602,146482.48682512774
1603,126042.05489765442
1604,195347.39039789332
1605,192923.38438030737
1606,169190.36134331246
1607,173197.77688060873
1608,179178.73957706126
1609,173494.69940375508
1610,161415.0911612401
1611,156179.91366584168
1612,164785.45728045367
1613,165312.83964687414
1614,147813.05672364339
1615,131762.72245041435
1616,122907.80616340908
1617,134930.51441123063
1618,151704.05725657617
1619,156869.99895521393
1620,168503.95958398352
1621,153478.4547598816
1622,159758.89361282284
1623,197336.25861084348
1624,180818.4913824735
1625,152293.2820140168
1626,166149.05336209992
1627,174801.18317723047
1628,199358.4184733727
1629,170369.52057127215
1630,216246.1065000193
1631,184537.3281285568
1632,192026.07900138426
1633,164648.33976461165
1634,173706.4458416354
1635,171031.52390019255
1636,163230.87743039464
1637,169641.1862396295
1638,175368.115126487
1639,171387.6607189227
1640,199245.5855343143
1641,170114.24015323652
1642,182323.9913860914
1643,189410.43147275032
1644,191426.25123069936
1645,173056.95942194006
1646,166474.93568002756
1647,164361.36946034938
1648,153733.23157923997
1649,153279.67427403483
1650,148368.04613794765
1651,151900.89428679738
1652,139190.85522748056
1653,139512.97764830402
1654,161601.36217973774
1655,161218.32776303764
